year	state	inc	def	tpop	yd	ydpc	esrcb	esrcbpc	esrcd	resrcd	esrcbg	esrcbgpc	esrcdg	resrcdg	hdd	cdd
1985	ME	12529634	93.1	1164	13458253.49	11562.07	11.67	0.01	23.71	25.46	0.54	0	8.76	9.41	0.81	0.02
1986	ME	13491722	96	1172	14053877.08	11991.36	12.21	0.01	23.98	24.98	0.56	0	8.26	8.61	0.82	0.01
1987	ME	14655913	100	1186	14655913	12357.43	12.71	0.01	23.79	23.79	0.55	0	7.73	7.73	0.8	0.02
1988	ME	16186811	104.2	1206	15534367.56	12880.9	13.32	0.01	24.17	23.2	0.58	0	7.07	6.78	0.82	0.03
1989	ME	17562448	109.3	1222	16068113.45	13149.03	13.68	0.01	24.93	22.81	0.64	0	7.14	6.53	0.83	0.02
1990	ME	18630405	115	1228	16200352.17	13192.47	13.42	0.01	27.28	23.72	0.65	0	7.57	6.58	0.74	0.03
1970	MI	31701391	35.7	8882	88799414.57	9997.68	58.35	0.01	6.99	19.59	345.13	0.04	1	2.8	0.69	0.07
1971	MI	34810955	37.4	8974	93077419.79	10371.9	61.99	0.01	7.19	19.23	348.93	0.04	1.05	2.8	0.67	0.06
1972	MI	37911079	38.8	9029	97708966.49	10821.68	66.18	0.01	7.47	19.25	366.49	0.04	1.06	2.74	0.66	0.05
1973	MI	42903645	41	9078	104643036.59	11527.1	69.08	0.01	7.94	19.37	353.1	0.04	1.14	2.79	0.66	0.07
1974	MI	46154306	45.2	9118	102111296.46	11198.87	69.22	0.01	9.52	21.07	355.31	0.04	1.33	2.95	0.68	0.05
1975	MI	49388363	48.9	9118	100998697.34	11076.85	71.26	0.01	11.32	23.15	342.97	0.04	1.58	3.24	0.64	0.06
1976	MI	55092022	51.8	9129	106355254.83	11650.26	72.75	0.01	12.28	23.7	347.38	0.04	1.86	3.58	0.74	0.05
1977	MI	61611563	55.4	9171	111212207.58	12126.51	74.07	0.01	13.18	23.79	305.17	0.03	2.18	3.93	0.76	0.06
1978	MI	68366273	59.4	9218	115094735.69	12485.87	74.58	0.01	14.26	24.01	333.74	0.04	2.27	3.82	0.73	0.05
1979	MI	75303474	64.7	9266	116388676.97	12560.83	75.21	0.01	15.15	23.41	376.81	0.04	2.59	4.01	0.7	0.04
1980	MI	81401070	71.4	9262	114007100.84	12309.12	75.95	0.01	16.76	23.48	394.87	0.04	3.13	4.38	0.7	0.06
1981	MI	86404335	77.8	9211	111059556.56	12057.27	73.46	0.01	18.73	24.07	371.14	0.04	3.75	4.82	0.74	0.05
1982	MI	88646878	82.2	9120	107842917.27	11824.88	72.6	0.01	19.25	23.41	368.91	0.04	4.66	5.67	0.63	0.05
1983	MI	93967075	86.2	9055	109010527.84	12038.71	74.88	0.01	20.6	23.89	354.01	0.04	5.63	6.53	0.72	0.07
1984	MI	104322510	89.6	9060	116431372.77	12851.14	76.12	0.01	20.33	22.69	346.74	0.04	5.83	6.51	0.65	0.06
1985	MI	111935720	93.1	9089	120231707.84	13228.27	76.09	0.01	21.62	23.22	348.88	0.04	6.14	6.6	0.68	0.05
1986	MI	119624567	96	9143	124608923.96	13628.89	78.56	0.01	22.13	23.06	342.88	0.04	5.53	5.76	0.63	0.05
1987	MI	123908739	100	9206	123908739	13459.56	82	0.01	21.45	21.45	324.12	0.04	5.29	5.29	0.67	0.08
1988	MI	133240420	104.2	9240	127869884.84	13838.73	86.38	0.01	21.68	20.81	362.32	0.04	5.14	4.93	0.69	0.08
1989	MI	140718407	109.3	9273	128745111.62	13883.87	86.39	0.01	22.17	20.28	380.43	0.04	4.93	4.51	0.68	0.05
1990	MI	148082556	115	9295	128767440	13853.41	86.39	0.01	22.94	19.95	342.17	0.04	4.8	4.17	0.61	0.05
1970	MN	13266811	35.7	3806	37161935.57	9764.04	30.81	0.01	7.3	20.46	101.97	0.03	1.09	3.06	0.9	0.06
1971	MN	14240050	37.4	3853	38075000	9881.91	31.72	0.01	7.53	20.14	102.53	0.03	1.18	3.16	0.91	0.04
1972	MN	15168488	38.8	3870	39094041.24	10101.82	33.93	0.01	7.86	20.25	107.43	0.03	1.23	3.16	0.86	0.04
1973	MN	18081944	41	3889	44102302.44	11340.27	34.15	0.01	7.97	19.43	102.65	0.03	1.3	3.18	0.87	0.05
1974	MN	19079435	45.2	3904	42211139.38	10812.28	34.16	0.01	8.94	19.78	113.22	0.03	1.41	3.11	0.88	0.04
1975	MN	20588241	48.9	3933	42102742.33	10704.99	34.77	0.01	9.9	20.24	114.67	0.03	1.57	3.2	0.81	0.05
1976	MN	22369527	51.8	3965	43184415.06	10891.4	35.74	0.01	10.51	20.29	105.67	0.03	1.74	3.36	0.88	0.06
1977	MN	25150947	55.4	3989	45398821.3	11381	35.37	0.01	11.57	20.89	100.23	0.03	2.14	3.86	0.92	0.05
1978	MN	28179020	59.4	4015	47439427.61	11815.55	38.61	0.01	12.34	20.77	106.51	0.03	2.41	4.06	0.97	0.05
1979	MN	31232142	64.7	4050	48272244.2	11919.07	39.28	0.01	12.61	19.49	111.81	0.03	2.88	4.44	0.84	0.04
1980	MN	34733995	71.4	4076	48647051.82	11935	40.09	0.01	16.06	22.49	103.09	0.03	3.24	4.53	0.81	0.05
1981	MN	38154646	77.8	4113	49041961.44	11923.65	41.9	0.01	17.29	22.22	95.48	0.02	4.11	5.28	0.92	0.04
1982	MN	40666874	82.2	4134	49473082.73	11967.36	43.58	0.01	18.37	22.35	108.21	0.03	4.94	6.01	0.82	0.04
1983	MN	42641897	86.2	4145	49468558	11934.51	45.69	0.01	19.41	22.51	99.87	0.02	5.77	6.7	0.88	0.07
1984	MN	48927123	89.6	4163	54606164.06	13117.02	44.45	0.01	18.89	21.09	102.22	0.02	5.98	6.68	0.84	0.05
1985	MN	51724261	93.1	4191	55557745.44	13256.44	45.25	0.01	19.01	20.42	107.07	0.03	5.78	6.21	0.9	0.04
1986	MN	55278422	96	4214	57581689.58	13664.38	45.24	0.01	19.41	20.22	103.2	0.02	5.28	5.5	0.75	0.04
1987	MN	57523151	100	4245	57523151	13550.8	47.2	0.01	19.38	19.38	89.85	0.02	4.58	4.58	0.83	0.06
1988	MN	61036444	104.2	4308	58576241.84	13597.08	51.17	0.01	19.82	19.02	110.44	0.03	4.61	4.42	0.89	0.08
1989	MN	65993731	109.3	4353	60378527.9	13870.56	50.42	0.01	19.71	18.04	117.61	0.03	4.54	4.16	0.84	0.05
1990	MN	69828761	115	4375	60720661.74	13879.01	50.69	0.01	19.94	17.34	107.4	0.02	4.61	4.01	0.81	0.05
1970	MO	15503481	35.7	4678	43427117.65	9283.27	33	0.01	7.86	22.03	157.67	0.03	0.96	2.68	0.51	0.13
1971	MO	16852727	37.4	4726	45060767.38	9534.65	35.6	0.01	7.85	21	154.46	0.03	1.01	2.7	0.46	0.13
1972	MO	18058065	38.8	4759	46541404.64	9779.66	38.13	0.01	8.05	20.74	162.08	0.03	1.08	2.79	0.52	0.13
1973	MO	20497941	41	4783	49994978.05	10452.64	40.71	0.01	8.27	20.17	153.14	0.03	1.16	2.84	0.46	0.13
1974	MO	21725219	45.2	4796	48064643.81	10021.82	40.36	0.01	9.17	20.28	154.27	0.03	1.26	2.78	0.52	0.11
1975	MO	23896404	48.9	4808	48867901.84	10163.87	46.59	0.01	10.06	20.58	156.45	0.03	1.48	3.03	0.45	0.13
1976	MO	26228139	51.8	4839	50633472.97	10463.62	45.39	0.01	11.1	21.42	161.01	0.03	1.69	3.26	0.57	0.11
1977	MO	29173882	55.4	4863	52660436.82	10828.8	49.59	0.01	11.75	21.2	154.72	0.03	2.17	3.93	0.59	0.15
1978	MO	32613327	59.4	4889	54904590.91	11230.23	54.96	0.01	12.92	21.75	160.01	0.03	2.27	3.83	0.59	0.13
1979	MO	36434566	64.7	4912	56313085.01	11464.39	55.85	0.01	13.66	21.12	157.94	0.03	2.82	4.35	0.53	0.11
1980	MO	39528906	71.4	4917	55362613.45	11259.43	63.63	0.01	15.21	21.31	145.69	0.03	3.23	4.53	0.48	0.17
1981	MO	44018554	77.8	4940	56579118.25	11453.26	56.08	0.01	16.3	20.96	130.59	0.03	3.96	5.09	0.56	0.12
1982	MO	46014861	82.2	4944	55979149.64	11322.64	57.01	0.01	17.92	21.8	138.42	0.03	5.11	6.22	0.5	0.11
1983	MO	49744467	86.2	4965	57708198.38	11623	64.84	0.01	19.07	22.12	130.07	0.03	5.96	6.91	0.56	0.15
1984	MO	55286779	89.6	5004	61703994.42	12330.93	63.09	0.01	17.94	20.02	132.93	0.03	5.75	6.41	0.51	0.12
1985	MO	59746220	93.1	5036	64174242.75	12743.1	63.06	0.01	19.27	20.7	130.32	0.03	5.4	5.8	0.5	0.11
1986	MO	63178082	96	5066	65810502.08	12990.62	66.43	0.01	20.87	21.74	121.91	0.02	4.98	5.19	0.48	0.14
1987	MO	65911817	100	5107	65911817	12906.17	69.31	0.01	21.59	21.59	117.34	0.02	4.71	4.71	0.52	0.15
1988	MO	69779001	104.2	5140	66966411.71	13028.48	72.84	0.01	21.49	20.62	129.1	0.03	4.73	4.54	0.51	0.14
1989	MO	73589782	109.3	5159	67328254.35	13050.64	71.85	0.01	21.5	19.67	130.17	0.03	4.8	4.39	0.5	0.1
1990	MO	77741353	115	5117	67601176.52	13211.1	73.88	0.01	21.56	18.75	117.21	0.02	5.15	4.48	0.46	0.13
1970	MS	5179487	35.7	2217	14508366.95	6544.14	23.47	0.01	5.06	14.16	37.56	0.02	0.86	2.42	0.26	0.22
1971	MS	5799279	37.4	2265	15506093.58	6845.96	25.31	0.01	5.51	14.74	41.2	0.02	0.92	2.46	0.2	0.21
1972	MS	6502579	38.8	2307	16759224.23	7264.51	28.49	0.01	6.06	15.63	40.07	0.02	1.06	2.74	0.26	0.22
1973	MS	7532606	41	2350	18372209.76	7817.96	32.02	0.01	5.89	14.37	32.11	0.01	1.07	2.6	0.2	0.22
1974	MS	8206311	45.2	2378	18155555.31	7634.8	31.03	0.01	7.42	16.42	29.52	0.01	1.2	2.66	0.23	0.2
1975	MS	8962634	48.9	2399	18328494.89	7640.06	27.61	0.01	8.06	16.48	30.18	0.01	1.38	2.82	0.23	0.2
1976	MS	10153755	51.8	2430	19601843.63	8066.6	28.09	0.01	9.89	19.1	27.23	0.01	1.67	3.23	0.31	0.18
1977	MS	11409691	55.4	2459	20595110.11	8375.4	30.64	0.01	10.88	19.64	26.63	0.01	2.05	3.71	0.31	0.24
1978	MS	12581568	59.4	2488	21181090.91	8513.3	31.94	0.01	11.37	19.13	31.13	0.01	2.34	3.94	0.26	0.22
1979	MS	14242905	64.7	2507	22013763.52	8780.92	31.06	0.01	12.5	19.33	38.08	0.02	2.75	4.25	0.27	0.2
1980	MS	15462897	71.4	2521	21656718.49	8590.53	34	0.01	14.38	20.14	30.49	0.01	3.36	4.71	0.27	0.24
1981	MS	17190833	77.8	2545	22096186.38	8682.2	32.79	0.01	17.37	22.32	29.14	0.01	3.88	4.98	0.25	0.22
1982	MS	18467355	82.2	2567	22466368.61	8751.99	33.02	0.01	18.23	22.18	28.36	0.01	4.78	5.82	0.26	0.21
1983	MS	19329006	86.2	2583	22423440.84	8681.16	32.96	0.01	17.43	20.22	28.28	0.01	5.74	6.65	0.29	0.19
1984	MS	21108126	89.6	2599	23558176.34	9064.32	34.54	0.01	17.41	19.43	29.65	0.01	5.35	5.97	0.24	0.2
1985	MS	22499851	93.1	2614	24167401.72	9245.37	35.65	0.01	18.12	19.47	26.35	0.01	5.33	5.72	0.23	0.22
1986	MS	23346925	96	2624	24319713.54	9268.18	37.08	0.01	19.13	19.93	25.82	0.01	5.47	5.7	0.25	0.23
1987	MS	24638447	100	2624	24638447	9389.65	37.97	0.01	19.01	19.01	27.01	0.01	6.01	6.01	0.27	0.21
1988	MS	26492262	104.2	2620	25424435.7	9703.98	38.95	0.01	19.15	18.38	27.3	0.01	5.76	5.53	0.24	0.2
1989	MS	28030280	109.3	2621	25645269.9	9784.54	39.29	0.01	20	18.3	27.13	0.01	4.95	4.52	0.25	0.19
1990	MS	29933691	115	2573	26029296.52	10116.32	41.85	0.02	20.19	17.56	25.88	0.01	5.16	4.49	0.22	0.22
1970	MT	2164151	35.7	694	6062047.62	8734.94	5.23	0.01	6.57	18.4	25.59	0.04	0.88	2.46	0.84	0.03
1971	MT	2328678	37.4	711	6226411.76	8757.26	5.57	0.01	6.57	17.56	26.19	0.04	0.91	2.42	0.84	0.03
1972	MT	2677675	38.8	719	6901224.23	9598.36	6	0.01	6.65	17.15	24.5	0.03	0.94	2.42	0.84	0.02
1973	MT	3110198	41	727	7585848.78	10434.45	6.18	0.01	6.89	16.8	25.63	0.04	1.06	2.58	0.79	0.03
1974	MT	3361197	45.2	736	7436276.55	10103.64	6.39	0.01	7.16	15.84	22.02	0.03	1.1	2.43	0.86	0.02
1975	MT	3701703	48.9	748	7569944.79	10120.25	7.31	0.01	7.02	14.36	24.56	0.03	1.27	2.6	0.79	0.02
1976	MT	3948213	51.8	757	7622032.82	10068.74	7.71	0.01	7.06	13.62	23.81	0.03	1.35	2.6	0.76	0.02
1977	MT	4255462	55.4	770	7681339.35	9975.77	8.32	0.01	7.44	13.42	21.74	0.03	1.8	3.26	0.86	0.02
1978	MT	5094655	59.4	782	8576860.27	10967.85	9.4	0.01	8.18	13.78	22.91	0.03	1.9	3.19	0.93	0.02
1979	MT	5423225	64.7	787	8382109.74	10650.71	10.09	0.01	8.36	12.92	22.28	0.03	2.24	3.47	0.77	0.03
1980	MT	5961645	71.4	787	8349642.86	10609.46	9.95	0.01	9.04	12.65	19.47	0.02	3.02	4.24	0.73	0.02
1981	MT	6747266	77.8	796	8672578.41	10895.2	9.92	0.01	10.5	13.49	17.39	0.02	3.72	4.79	0.84	0.03
1982	MT	7217590	82.2	805	8780523.11	10907.48	10.84	0.01	11.2	13.62	20.19	0.03	4.42	5.37	0.78	0.02
1983	MT	7546605	86.2	816	8754762.18	10728.88	10.57	0.01	12.96	15.04	17.08	0.02	4.6	5.33	0.82	0.03
1984	MT	8003938	89.6	823	8932966.52	10854.15	11.52	0.01	12.58	14.04	18.51	0.02	4.84	5.4	0.86	0.03
1985	MT	8286200	93.1	825	8900322.23	10788.27	12.33	0.01	13.77	14.79	19.35	0.02	4.82	5.18	0.83	0.03
1986	MT	8839661	96	817	9207980.21	11270.48	10.97	0.01	14.68	15.29	16.79	0.02	4.46	4.64	0.75	0.03
1987	MT	8922434	100	809	8922434	11028.97	10.71	0.01	16.19	16.19	15.63	0.02	4.33	4.33	0.74	0.02
1988	MT	9155370	104.2	805	8786343.57	10914.71	11.26	0.01	15.89	15.25	17.3	0.02	4.2	4.03	0.82	0.04
1989	MT	9848230	109.3	806	9010274.47	11179	11.79	0.01	15.77	14.43	18.53	0.02	4.29	3.93	0.76	0.03
1990	MT	10177418	115	799	8849928.7	11076.26	11.46	0.01	15.97	13.89	17.29	0.02	4.47	3.89	0.79	0.03
1970	NC	14412374	35.7	5084	40370795.52	7940.75	50.02	0.01	5.45	15.26	28.01	0.01	1.27	3.56	0.36	0.15
1971	NC	15749569	37.4	5204	42111147.06	8092.07	53.87	0.01	5.87	15.68	31.16	0.01	1.31	3.49	0.31	0.14
1972	NC	17526067	38.8	5301	45170275.77	8521.09	56.56	0.01	6.28	16.19	33.78	0.01	1.38	3.55	0.34	0.12
1973	NC	20173237	41	5390	49203017.07	9128.57	63.06	0.01	6.53	15.92	29.19	0.01	1.47	3.58	0.28	0.15
1974	NC	22062082	45.2	5471	48809915.93	8921.57	63.43	0.01	8.03	17.77	27.5	0.01	1.65	3.65	0.34	0.12
1975	NC	24241776	48.9	5547	49574184.05	8937.12	64.82	0.01	9.31	19.03	27.96	0.01	1.99	4.07	0.31	0.14
1976	NC	26853815	51.8	5608	51841341.7	9244.18	68.2	0.01	10.4	20.08	34.33	0.01	2.1	4.04	0.41	0.11
1977	NC	29436103	55.4	5686	53133759.93	9344.66	74.56	0.01	11.19	20.19	32.89	0.01	2.76	4.98	0.4	0.16
1978	NC	33331625	59.4	5759	56113846.8	9743.68	77.27	0.01	11.99	20.19	35.8	0.01	2.94	4.95	0.35	0.14
1979	NC	36585195	64.7	5823	56545896.45	9710.78	77.16	0.01	12.57	19.42	32.95	0.01	3.44	5.32	0.36	0.12
1980	NC	40897242	71.4	5882	57279050.42	9738.02	83.17	0.01	13.91	19.48	34.36	0.01	4.06	5.69	0.38	0.15
1981	NC	45849659	77.8	5957	58932723.65	9893.02	85.05	0.01	15.96	20.52	33.45	0.01	5.11	6.57	0.38	0.13
1982	NC	49264912	82.2	6019	59932982.97	9957.3	81.91	0.01	18.5	22.51	32.63	0.01	5.55	6.75	0.35	0.13
1983	NC	53897353	86.2	6079	62525931.55	10285.56	86.11	0.01	19.42	22.53	32.26	0.01	6.44	7.48	0.37	0.14
1984	NC	60875376	89.6	6168	67941267.86	11015.12	91.89	0.01	19.57	21.84	33.51	0.01	6.46	7.21	0.32	0.13
1985	NC	64585558	93.1	6258	69372242.75	11085.37	91.62	0.01	20.48	22	29.62	0	6.38	6.86	0.31	0.14
1986	NC	70462175	96	6328	73398098.96	11598.94	100.67	0.02	21.17	22.05	32.75	0.01	6.41	6.68	0.35	0.16
1987	NC	75423457	100	6410	75423457	11766.53	107.5	0.02	21.59	21.59	37.02	0.01	6.46	6.46	0.37	0.16
1988	NC	82716283	104.2	6489	79382229.37	12233.35	109.91	0.02	21.89	21.01	39.53	0.01	6.07	5.82	0.35	0.13
1989	NC	89121565	109.3	6571	81538485.82	12408.84	111.86	0.02	22.45	20.54	39.86	0.01	6.35	5.81	0.32	0.14
1990	NC	95532418	115	6629	83071667.83	12531.55	113.09	0.02	22.98	19.98	36.12	0.01	5.98	5.2	0.28	0.15
1970	ND	1726437	35.7	618	4835957.98	7825.17	4.78	0.01	7.8	21.85	8.44	0.01	0.99	2.78	0.97	0.06
1971	ND	2024351	37.4	627	5412703.21	8632.7	5.02	0.01	7.82	20.9	8.77	0.01	1.07	2.85	0.98	0.04
1972	ND	2427196	38.8	631	6255659.79	9913.88	5.45	0.01	8.02	20.66	10.66	0.02	1.1	2.83	0.92	0.04
1973	ND	3465700	41	633	8452926.83	13353.75	5.54	0.01	8.06	19.66	8.4	0.01	1.12	2.73	0.98	0.05
1974	ND	3311714	45.2	635	7326800.88	11538.27	5.93	0.01	8.48	18.75	9.57	0.02	1.19	2.63	0.95	0.04
1975	ND	3435601	48.9	639	7025768.92	10994.94	6.48	0.01	9.18	18.76	10.21	0.02	1.51	3.08	0.87	0.05
1976	ND	3379772	51.8	646	6524656.37	10100.09	6.99	0.01	9.74	18.8	10.18	0.02	1.79	3.46	0.9	0.06
1977	ND	3523661	55.4	650	6360398.92	9785.23	7.33	0.01	10.46	18.87	10.16	0.02	2.11	3.8	1.02	0.05
1978	ND	4487444	59.4	651	7554619.53	11604.64	8.19	0.01	11.03	18.58	12.42	0.02	2.33	3.92	1.09	0.05
1979	ND	4626142	64.7	653	7150142.19	10949.68	8.58	0.01	11.5	17.78	11.59	0.02	2.88	4.45	0.89	0.04
1980	ND	4322463	71.4	653	6053869.75	9270.86	8.38	0.01	13.14	18.4	10.15	0.02	3.66	5.13	0.84	0.05
1981	ND	5601087	77.8	661	7199340.62	10891.59	9.04	0.01	15.12	19.43	9.33	0.01	4.1	5.28	1	0.04
1982	ND	6250502	82.2	672	7604017.03	11315.5	9.89	0.01	16.51	20.08	11.22	0.02	4.5	5.47	0.89	0.04
1983	ND	6730160	86.2	681	7807610.21	11464.92	9.22	0.01	17.91	20.78	10.12	0.01	5.33	6.18	0.93	0.06
1984	ND	7242022	89.6	687	8082613.84	11765.09	10.08	0.01	17.76	19.82	10.46	0.02	6.08	6.79	0.94	0.05
1985	ND	7406387	93.1	685	7955302.9	11613.58	10.28	0.02	18.02	19.35	10.99	0.02	5.26	5.65	0.96	0.03
1986	ND	7552186	96	679	7866860.42	11585.95	10.08	0.01	18.2	18.96	9.75	0.01	5.08	5.29	0.82	0.04
1987	ND	7661898	100	672	7661898	11401.63	9.51	0.01	18.44	18.44	8.45	0.01	5.22	5.22	0.86	0.05
1988	ND	7061485	104.2	667	6776857.01	10160.21	10.41	0.02	18.26	17.52	9.65	0.01	4.88	4.68	0.96	0.08
1989	ND	7845822	109.3	660	7178245.2	10876.13	10.44	0.02	18.01	16.47	10.31	0.02	4.46	4.08	0.88	0.06
1990	ND	8680681	115	639	7548418.26	11812.86	10.08	0.02	18.35	15.96	9.48	0.01	4.55	3.96	0.86	0.05
1970	NE	4907036	35.7	1485	13745198.88	9256.03	14.01	0.01	6.21	17.39	58.76	0.04	0.84	2.36	0.66	0.12
1971	NE	5472940	37.4	1505	14633529.41	9723.28	14.7	0.01	6.52	17.44	58.14	0.04	0.91	2.45	0.61	0.1
1972	NE	5933022	38.8	1519	15291293.81	10066.68	13.93	0.01	6.92	17.83	60.86	0.04	0.98	2.52	0.66	0.09
1973	NE	6965733	41	1530	16989592.68	11104.31	15.14	0.01	6.6	16.1	51.01	0.03	1.03	2.51	0.62	0.11
1974	NE	7166539	45.2	1539	15855174.78	10302.26	15.4	0.01	7.22	15.98	49.76	0.03	1.13	2.5	0.67	0.1
1975	NE	8241041	48.9	1543	16852844.58	10922.13	16.01	0.01	8.13	16.63	53.61	0.03	1.29	2.63	0.59	0.11
1976	NE	8636011	51.8	1551	16671835.91	10749.09	16.11	0.01	9.32	17.99	54.77	0.04	1.37	2.65	0.63	0.11
1977	NE	9221901	55.4	1557	16646030.69	10691.09	16.58	0.01	10.2	18.41	52.95	0.03	1.8	3.24	0.72	0.12
1978	NE	10883319	59.4	1564	18322085.86	11714.89	18.24	0.01	10.81	18.19	48.21	0.03	1.97	3.31	0.74	0.11
1979	NE	11590539	64.7	1567	17914279.75	11432.21	17.96	0.01	11.52	17.8	53.39	0.03	2.31	3.57	0.64	0.1
1980	NE	12219952	71.4	1570	17114778.71	10901.13	18.84	0.01	13.22	18.52	47.95	0.03	2.78	3.9	0.56	0.13
1981	NE	14278127	77.8	1583	18352348.33	11593.4	19.11	0.01	15.07	19.37	43	0.03	3.52	4.53	0.68	0.1
1982	NE	14664078	82.2	1590	17839510.95	11219.82	19.94	0.01	14.34	17.44	50.4	0.03	4.24	5.16	0.64	0.09
1983	NE	15653227	86.2	1597	18159196.06	11370.82	21.97	0.01	17.88	20.74	46.41	0.03	5.05	5.85	0.7	0.13
1984	NE	17571721	89.6	1605	19611295.76	12218.88	21.39	0.01	17.35	19.36	46.94	0.03	5.18	5.78	0.63	0.11
1985	NE	18599877	93.1	1605	19978385.61	12447.59	21.14	0.01	17.3	18.58	45.85	0.03	5.1	5.48	0.65	0.09
1986	NE	19072899	96	1598	19867603.13	12432.79	21.58	0.01	17.27	17.99	42.02	0.03	4.62	4.81	0.57	0.11
1987	NE	19698926	100	1594	19698926	12358.17	21.76	0.01	17.52	17.52	38.29	0.02	4.43	4.43	0.63	0.11
1988	NE	21053366	104.2	1603	20204765.83	12604.35	23.25	0.01	17.42	16.72	42.78	0.03	4.53	4.35	0.63	0.13
1989	NE	22423288	109.3	1611	20515359.56	12734.55	22.94	0.01	18.05	16.51	44.25	0.03	4.54	4.15	0.63	0.09
1990	NE	24001885	115	1578	20871204.35	13226.37	23.2	0.01	18.23	15.85	40.85	0.03	4.67	4.06	0.6	0.1
1970	NH	2516300	35.7	738	7048459.38	9550.76	5.04	0.01	8.29	23.22	3.71	0.01	1.97	5.51	0.79	0.03
1971	NH	2759241	37.4	762	7377649.73	9681.96	5.69	0.01	8.09	21.63	3.95	0.01	2.03	5.44	0.77	0.03
1972	NH	3003089	38.8	781	7739920.1	9910.27	6.52	0.01	8.24	21.23	4.27	0.01	2.12	5.46	0.76	0.02
1973	NH	3447482	41	801	8408492.68	10497.49	7.05	0.01	8.74	21.33	4.25	0.01	2.16	5.26	0.74	0.04
1974	NH	3776133	45.2	816	8354276.55	10238.08	7.23	0.01	11.74	25.97	4.35	0.01	2.36	5.22	0.76	0.03
1975	NH	4124389	48.9	829	8434333.33	10174.11	7.33	0.01	14.25	29.15	3.78	0	2.62	5.36	0.73	0.04
1976	NH	4674172	51.8	845	9023498.07	10678.7	7.92	0.01	14.39	27.79	4.14	0	2.65	5.12	0.8	0.03
1977	NH	5249385	55.4	870	9475424.19	10891.29	8	0.01	15.08	27.23	3.85	0	3.62	6.54	0.79	0.02
1978	NH	6024998	59.4	892	10143094.28	11371.18	8.26	0.01	17.06	28.71	3.97	0	3.55	5.97	0.77	0.03
1979	NH	6921639	64.7	909	10698051	11769.03	8.41	0.01	17.97	27.78	3.89	0	3.94	6.1	0.73	0.03
1980	NH	7942445	71.4	921	11123872.55	12078.04	8.45	0.01	20.93	29.31	4.42	0	4.57	6.4	0.76	0.03
1981	NH	8930691	77.8	937	11479037.28	12250.84	8.47	0.01	26.8	34.45	4.56	0	5.55	7.14	0.81	0.03
1982	NH	9749874	82.2	948	11861160.58	12511.77	8.4	0.01	26.24	31.93	4.62	0	6.72	8.17	0.7	0.02
1983	NH	10865339	86.2	959	12604801.62	13143.69	8.58	0.01	27.6	32.01	4.4	0	7.32	8.49	0.75	0.04
1984	NH	12523778	89.6	978	13977430.8	14291.85	9.41	0.01	27.34	30.51	4.74	0	6.83	7.63	0.73	0.03
1985	NH	13859727	93.1	998	14886924.81	14916.76	9.73	0.01	26.15	28.09	4.82	0	6.96	7.48	0.74	0.03
1986	NH	15366367	96	1027	16006632.29	15585.82	10.49	0.01	25.02	26.06	5.24	0.01	6.88	7.17	0.75	0.02
1987	NH	17205186	100	1057	17205186	16277.38	11.13	0.01	26.68	26.68	5.77	0.01	6.32	6.32	0.75	0.03
1988	NH	18990247	104.2	1085	18224805.18	16797.06	11.82	0.01	27.75	26.63	6.08	0.01	6.13	5.88	0.75	0.04
1989	NH	20171999	109.3	1107	18455625.8	16671.75	12.09	0.01	27.97	25.59	6.41	0.01	6.72	6.15	0.76	0.03
1990	NH	21004527	115	1109	18264806.09	16469.62	11.75	0.01	30.3	26.35	5.99	0.01	7.31	6.36	0.66	0.03
1970	NJ	30024009	35.7	7171	84100865.55	11727.91	41.39	0.01	7.83	21.93	143.86	0.02	1.84	5.15	0.55	0.09
1971	NJ	32718903	37.4	7281	87483697.86	12015.34	43.86	0.01	8.91	23.83	146.92	0.02	1.9	5.07	0.52	0.08
1972	NJ	34930579	38.8	7335	90027265.46	12273.66	46.29	0.01	9.46	24.37	153.77	0.02	1.97	5.07	0.52	0.07
1973	NJ	38522489	41	7333	93957290.24	12812.94	50.62	0.01	10.15	24.76	140.28	0.02	2.03	4.95	0.5	0.09
1974	NJ	41733834	45.2	7332	92331491.15	12592.95	48.81	0.01	14.19	31.39	139.35	0.02	2.19	4.85	0.53	0.07
1975	NJ	45315735	48.9	7338	92670214.72	12628.81	49.46	0.01	15.77	32.25	133.43	0.02	2.61	5.34	0.49	0.08
1976	NJ	49091232	51.8	7340	94770718.15	12911.54	51.19	0.01	16.65	32.14	152.55	0.02	3.04	5.86	0.59	0.07
1977	NJ	53062705	55.4	7337	95781055.96	13054.53	52.52	0.01	18.32	33.06	138.72	0.02	3.31	5.97	0.6	0.08
1978	NJ	59127179	59.4	7351	99540705.39	13541.11	53.54	0.01	18.7	31.48	141.12	0.02	3.41	5.75	0.55	0.07
1979	NJ	65357880	64.7	7367	101016816.07	13712.07	53.9	0.01	20.23	31.27	129.33	0.02	4.15	6.42	0.53	0.07
1980	NJ	73557860	71.4	7365	103022212.89	13988.08	55.71	0.01	24.08	33.72	140.94	0.02	4.9	6.87	0.57	0.09
1981	NJ	82501920	77.8	7407	106043598.97	14316.67	54.68	0.01	27.84	35.78	150.79	0.02	5.68	7.3	0.59	0.08
